Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2015-01-02,26.07496452331543,26.395928132964688,26.03968897258356,26.283639712950077,28951268
2015-01-05,25.531414031982422,26.05111497609867,25.49117052492575,25.99795173534796,41196796
2015-01-06,24.939672470092773,25.645939909840084,24.89446099991601,25.58755973661339,57998800
2015-01-07,24.896942138671875,25.202203625542822,24.82489913541688,25.19008020987385,41301082
2015-01-08,24.975444793701172,25.01519226703752,24.39512864215862,24.742423948415887,67071641
2015-01-09,24.652000427246094,25.08673867762605,24.58343536690013,25.078790702950585,41427428
2015-01-12,24.472139358520508,24.642359422252323,24.224212738144885,24.59088574161689,46535413
2015-01-13,24.652494430541992,24.99034794407595,24.464189023106176,24.78465468051605,47409807
2015-01-14,24.885515213012695,25.002769685525077,24.494496558025105,24.576477382167578,44714427
2015-01-15,24.931224822998047,25.124498190496986,24.730995552799406,25.11903229537012,54316718
2015-01-16,25.24374008178711,25.24920597680009,24.8422875778659,24.842785514059713,45965854
2015-01-20,25.18511390686035,25.463346219728397,25.14119289188487,25.388821132742958,44640224
2015-01-21,25.738601684570312,25.800210841321867,25.150335630334812,25.202504904259918,45374234
2015-01-22,26.550941467285156,26.64733013497606,25.821077208594602,25.90951410103029,53538588
2015-01-23,26.827186584472656,26.937487053085505,26.481879238422092,26.610563435223717,45634948
2015-01-26,26.59168243408203,26.77998784275595,26.31643204265648,26.756636155183394,30874534
2015-01-27,25.767913818359375,26.367607664739854,25.746052138092043,26.33133624268456,38080263
2015-01-28,25.339134216308594,25.98453743060079,25.339134216308594,25.974103576998196,33676205
2015-01-29,25.371929168701172,25.393292914418893,24.90191345927104,25.38882289129568,83727244
2015-01-30,26.557401657104492,26.823214074894498,25.61339440686337,25.63028812844617,112127002
2015-02-02,26.257307052612305,26.481880083421103,25.763937793964395,26.418780922967134,56996054
2015-02-03,26.295066833496094,26.50175407371789,25.997952856634825,26.233457680035777,40773638
2015-02-04,25.97311019897461,26.46558429923668,25.89908115073781,26.295065859467172,33273101
2015-02-05,26.212589263916016,26.258300567214366,25.93982095428318,26.024285757729402,36995292
2015-02-06,26.38251304626465,26.690556929297617,26.154460149343667,26.215573270335298,35270570
2015-02-09,26.22500991821289,26.432195080020723,26.1350811241348,26.233455828033318,25355423
2015-02-10,26.677637100219727,26.71539852919702,26.17979782500845,26.298046269798736,34997823
2015-02-11,26.629444122314453,26.75266242839462,26.500661094017506,26.596154616047677,27555446
2015-02-12,26.975248336791992,27.06915302705736,26.565004002932607,26.69304203133127,32404724
2015-02-13,27.27733039855957,27.322045828801354,26.985184392892418,26.996116182876722,38006060
2015-02-17,26.970779418945312,27.326520656523503,26.883830628100075,27.169020761552435,32336537
2015-02-18,26.814769744873047,27.10244386027685,26.70595927139014,26.899234556725716,29061570
2015-02-19,26.97226905822754,26.984192920660586,26.730802291618396,26.732292299292528,19782163
2015-02-20,26.777503967285156,27.015990703382016,26.6209961558529,26.985185176782075,28887092
2015-02-23,26.427724838256836,26.652746392342078,26.303512560297808,26.633418105137288,29157834
2015-02-24,26.635406494140625,26.670186008571285,26.245879733557096,26.332826619113824,20101036
2015-02-25,27.02195167541504,27.138710109588384,26.603358387492065,26.625965070563474,36519991
2015-02-26,27.598787307739258,27.631580776205602,26.904198649333004,26.98915948470359,46230579
2015-02-27,27.74386978149414,28.057379549390085,27.470603523147155,27.53718253738655,48203982
2015-03-02,28.386789321899414,28.427032831809694,27.76125978811757,27.849698583402816,42592618
2015-03-03,28.50106430053711,28.58801118923436,28.147309113001814,28.34257043656396,34095352
2015-03-04,28.487648010253906,28.67346754715099,28.221339553029853,28.4131210210045,37536775
2015-03-05,28.58502960205078,28.713215866807992,28.4896349072752,28.569625888436484,27792094
2015-03-06,28.205190658569336,28.652103623156535,28.159232285469066,28.562670856512774,33182854
2015-03-09,28.26307487487793,28.333625976155492,27.999001430011955,28.1642003249085,21242161
2015-03-10,27.575437545776367,28.064332950932712,27.561525741117954,28.03452329846451,35846146
2015-03-11,27.38514518737793,27.73095047207054,27.360303492675357,27.581896502815447,36415706
2015-03-12,27.60028076171875,27.643008249366183,27.349372228371998,27.50091208047838,27792094
2015-03-13,27.1933650970459,27.743869698754906,27.039343161218717,27.500414996779064,34071287
2015-03-16,27.550596237182617,27.666858642753716,27.12777996855501,27.373718649290844,32819860
2015-03-17,27.368253707885742,27.515319735229394,27.227149611324148,27.411479131445535,36110871
2015-03-18,27.798521041870117,27.812432846771962,27.17746348159152,27.45072781984381,42690887
2015-03-19,27.723499298095703,27.863111488682414,27.63182962207121,27.79305642528442,23945563
2015-03-20,27.841249465942383,27.908822449542164,27.776164262838513,27.905344498199522,52337299
2015-03-23,27.764240264892578,27.940621822688303,27.616180255840717,27.844731087090953,32876014
2015-03-24,28.32965087890625,28.54826389286547,27.883484804932372,27.95055795658805,51665459
2015-03-25,27.762998580932617,28.43249853983231,27.760763569487864,28.34505371705635,43045859
2015-03-26,27.583389282226562,27.768710877258535,27.358812448858554,27.703623772572296,31452115
2015-03-27,27.244041442871094,27.588852760125935,27.233607588868285,27.475572274181083,37949906
2015-03-30,27.427379608154297,27.498924679956808,27.235596244077705,27.40700793529864,25750504
2015-03-31,27.227148056030273,27.56053152821878,27.163550963788108,27.326516730921398,31760961
2015-04-01,26.956865310668945,27.38315761597354,26.804829423732738,27.256959296482336,39261497
2015-04-02,26.607582092285156,26.87190449358721,26.523963019581963,26.87190449358721,34327989
2015-04-06,26.668941497802734,26.750673351900943,26.31146132506801,26.44312553593223,26488525
