Date,Open,High,Low,Close,Volume,Ticker
2015-01-02,26.50328935778615,26.662529798560367,26.26841222285612,26.351516723632812,26480000,GOOGL
2015-01-05,26.23208386279166,26.273883833039605,25.764320935060198,25.84941291809082,41182000,GOOGL
2015-01-06,25.90116728970276,25.936497948150002,25.157224580764094,25.21146583557129,54456000,GOOGL
2015-01-07,25.425940599196498,25.452810654848868,25.062677568471276,25.137319564819336,46918000,GOOGL
2015-01-08,24.9561873531382,25.254261799553323,24.633230341996608,25.224903106689453,73054000,GOOGL
2015-01-09,25.288098294715493,25.308998280574947,24.813866036099117,24.916872024536133,42000000,GOOGL
2015-01-12,24.843227553129108,24.894980176137008,24.42870922148024,24.7347469329834,57138000,GOOGL
2015-01-13,25.00893393714728,25.308999663328926,24.74469811602012,24.970617294311523,60958000,GOOGL
2015-01-14,24.90194563941595,25.29208063266262,24.78948434572866,25.17613410949707,52800000,GOOGL
2015-01-15,25.323427756269194,25.36622242102555,24.98106474339957,25.080589294433594,51068000,GOOGL
2015-01-16,25.037793756599353,25.420962059892116,25.034807773170588,25.40155601501465,49658000,GOOGL
2015-01-20,25.516508114522328,25.657832653151154,25.3473169258771,25.375680923461914,46796000,GOOGL
2015-01-21,25.420463989857982,25.968345425775695,25.35826138196683,25.895692825317383,46356000,GOOGL
2015-01-22,26.02557312241996,26.8138044588719,25.97133376461755,26.737171173095703,56068000,GOOGL
2015-01-23,26.77349844145609,27.140742155638115,26.660040555396062,26.968564987182617,45966000,GOOGL
2015-01-26,26.946172280809225,26.946172280809225,26.47691538098644,26.708309173583984,30932000,GOOGL
2015-01-27,26.443573891037325,26.512245817096385,25.919081045777528,25.935503005981445,39148000,GOOGL
2015-01-28,26.125097474176556,26.159433438060667,25.495607333998667,25.499588012695312,35822000,GOOGL
2015-01-29,25.52297623300577,25.636931463844675,25.054216680385302,25.539398193359375,79018000,GOOGL
2015-01-30,25.826524397480757,27.025790640778997,25.785719120905785,26.749610900878906,121108000,GOOGL
2015-02-02,26.58887780034442,26.697360303621316,25.961876342465544,26.483383178710938,75378000,GOOGL
2015-02-03,26.37092039377398,26.744633397578692,26.215165196561706,26.538122177124023,47062000,GOOGL
2015-02-04,26.530160678669176,26.709801856826733,26.12658971226051,26.17983627319336,33896000,GOOGL
