Date,Open,High,Low,Close,Volume,Ticker
2015-01-02,78.21138814137034,78.55974479536005,77.33551130436129,78.08199310302734,18177500,META
2015-01-05,77.61420647225279,78.87824568013595,76.49945755354838,76.82791137695312,26452200,META
2015-01-06,76.86772897814596,77.22603328594651,75.00649813437246,75.79279327392578,27399300,META
2015-01-07,76.39993246277572,76.99711643391822,75.46433943203525,75.79279327392578,22045300,META
2015-01-08,76.38001545711485,77.86303143010313,75.72311542344683,77.81326293945312,23961000,META
2015-01-09,77.83316934320655,78.25120494043233,76.83786023347957,77.37532806396484,21157000,META
2015-01-12,77.47486411952504,77.63411723570891,75.85251286483614,76.36012268066406,19190200,META
2015-01-13,76.86772473085611,77.71373594269586,75.4941933201554,76.09137725830078,25179600,META
2015-01-14,76.06152284824434,76.83786276442613,75.67335289015344,75.92218017578125,25918600,META
2015-01-15,76.0416192923558,76.21082002252801,73.19503456402182,73.70264434814453,34134000,META
2015-01-16,73.69268739477293,74.96668184023537,73.49362101666576,74.82733917236328,21791500,META
2015-01-20,75.3648049837218,75.95203369779212,74.46902529025328,75.88236236572266,22821600,META
2015-01-21,75.8027466201264,76.93739841536537,75.49419562766246,76.38002014160156,25096700,META
2015-01-22,76.80799964465785,77.38528073174588,76.32030032316896,77.28575134277344,19519500,META
2015-01-23,77.28574885333437,77.8232166488,76.67860972847164,77.46490478515625,16746500,META
2015-01-26,77.61421108516984,78.1019104438864,76.92744533970742,77.13645935058594,19260800,META
2015-01-27,76.35016016685373,76.51936089142619,75.27522451614777,75.42452239990234,20110000,META
2015-01-28,76.53927000546811,77.27579660071747,75.64349031199961,75.88236236572266,53306400,META
2015-01-29,76.4894950009057,77.65400470645564,73.86187985287278,77.63410186767578,61293500,META
2015-01-30,77.63410929159905,77.79336239148694,75.39466383126445,75.55391693115234,42649500,META
2015-02-02,75.75297832699026,75.78283638584834,73.4040481778118,74.63822937011719,41955300,META
2015-02-03,74.83729641733348,75.22546637315232,73.51353344307635,75.04631042480469,26957700,META
2015-02-04,74.73775496537549,75.99184652891341,74.6581360103362,75.27522277832031,20277400,META
2015-02-05,75.35485471350074,75.62359243598596,74.85720013930491,75.25532531738281,15062600,META
2015-02-06,75.32500505533973,75.34490789934068,73.9017125106496,74.12068176269531,21211000,META
